epoch,phase,loss,accuracy,f1,recall,roc_auc
1,train,0.17997596567165267,0.928489263803681,0.9282857832980744,0.928489263803681,0.9741359120540762
1,val,0.9651426825767908,0.7339743589743589,0.6885858724809134,0.7339743589743589,0.9130396668858207
2,train,0.12641691589053788,0.9536042944785276,0.9534195602746909,0.9536042944785276,0.9865212768516514
2,val,0.3029681717356046,0.8942307692307693,0.8920139876044806,0.8942307692307693,0.9667214551829937
3,train,0.09439878721087257,0.9616564417177914,0.9616093969483082,0.9616564417177914,0.992658535998653
3,val,0.5291305490029163,0.8269230769230769,0.8132411067193676,0.8269230769230769,0.9505862371246988
4,train,0.10244204215648259,0.9610812883435583,0.9610190937559491,0.9610812883435583,0.9913343436530273
4,val,0.43595136740268803,0.8717948717948718,0.8677884615384616,0.8717948717948718,0.9369274600043831
5,train,0.09553392676842268,0.963957055214724,0.9638590183602761,0.963957055214724,0.9924199081090183
5,val,0.37633206446965534,0.8605769230769231,0.8536594595396738,0.8605769230769231,0.9669625246548323
6,train,0.06523484699542355,0.9737346625766872,0.9737506218359337,0.9737346625766872,0.9965537514132449
6,val,0.5791136767619696,0.8397435897435898,0.8274641383980791,0.8397435897435898,0.9678610563225948
7,train,0.05789747975903786,0.9789110429447853,0.9789007326675763,0.9789110429447853,0.9971961222967936
7,val,0.4109110086201093,0.8862179487179487,0.8816198761038618,0.8862179487179487,0.9705566513258821
8,train,0.049602889985080376,0.9808282208588958,0.9808328894301405,0.9808282208588958,0.9980894373481514
8,val,0.6512444485456516,0.8413461538461539,0.8293795928904899,0.8413461538461539,0.9621904448827526
9,train,0.04321703826008719,0.9858128834355828,0.9858197841038225,0.9858128834355828,0.9983203675639268
9,val,0.5486386114588151,0.8669871794871795,0.8593239337708991,0.8669871794871795,0.9701293008985317
10,train,0.04008681189763057,0.9875383435582822,0.987527661353454,0.9875383435582822,0.9984250559284116
10,val,0.5480192441206712,0.8653846153846154,0.8574889099936284,0.8653846153846154,0.9697896120973044
